TransactionID,StudentID,BookISBN,CheckoutDate,ReturnDate,Department,BookCategory
1001,STU-2024-001,978-0134685991,1/15/2024,2/10/2024,CS,Textbook
1002,STU-2024-002,978-0596009205,15-01-2024,,Computer Science,Reference
1003,STU-2024-003,978-0201633610,1/16/2024,2/12/2024,CompSci,Fiction
1004,STU-2024-004,978-0131103627,1/17/2024,,CS,Textbook
1005,STU-2024-005,978-0262033848,17-Jan-24,10-Feb-24,Computer Science,Reference
1006,STU-2024-006,978-0132350884,1/18/2024,,CompSci,Fiction
1007,STU-2024-007,978-1491957660,1/19/2024,2/15/2024,CS,Textbook
1008,STU-2024-008,978-1449355739,1/20/2024,,Computer Science,Reference
1009,STU-2024-009,978-0134685991,20/01/2024,25/02/2024,CompSci,Fiction
1010,STU-2024-011,978-0596007127,1/23/2024,25/02/2024,CS,Textbook
1011,STU-2024-012,978-0596007128,2/22/2024,25/02/2024,Eng,Textbook
1012,STU-2024-013,978-0596007129,1/23/2024,25/02/2024,Engineering,Reference
