BookingID,RoomNumber,BookingDate,TimeSlot,StudentID,DurationHours,Purpose
5001,R-101,3/15/2024,Morning,STU-2024-001,2,Study
5002,Room102,3/15/2024,8AM-10AM,STU-2024-002,2,Group Project
5003,R103,Mar-16-2024,AM,,1.5,Meeting
5004,R104,Feb-17-2024,10AM-12PM,STU-2024-003,2,Study
5005,R-105,Jan-18-2024,Morning,STU-2024-004,3,Group Project
5006,R106,May-19-2024,8AM-10AM,,2,Meeting
5007,Room107,10/13/2025,AM,STU-2024-005,1,Study
5008,R-108,12/24/2025,Morning,STU-2024-006,2.5,Group Project
5009,Room109,1/30/2026,8AM-10AM,,2,Meeting
5010,R-110,1/27/2025,AM,STU-2024-007,1,Study
